"lang"
{ 
	"Language" "schinese" 
	"DOTA_Tooltip_ability_ability_slot_3_description" 	 "使用技能之书学习一种技能"
			
	"DOTA_Tooltip_ability_ability_slot_4" 	 "终极技能书"
	"DOTA_Tooltip_ability_ability_slot_4_description" 	 "使用终极能力宝典学习技能"
		
	"DOTA_Tooltip_ability_item_ability_1" 	 "技能书2"
	"DOTA_Tooltip_ability_item_ability_1_description" 	 "学习本书后，你将获得一种随机技能！"
			
	"DOTA_Tooltip_ability_item_ability_ult" 	 "终极技能卷"
	"DOTA_Tooltip_ability_item_ability_ult_description" 	 "学习本书后，你将随机获得一个终极技能！"
			
	"DOTA_Tooltip_ability_item_remove_ability1" 	 "技能重随书1"
	"DOTA_Tooltip_ability_item_remove_ability1_description" 	 "学习本书后，你将把第1个槽位的能力替换为另一种随机技能！"
			
	"DOTA_Tooltip_ability_item_remove_ability2" 	 "技能重随书2"
	"DOTA_Tooltip_ability_item_remove_ability2_description" 	 "学完这本书，你会将第2个槽位的能力换成另一种随机技能！"
			
	"DOTA_Tooltip_ability_item_remove_ability3" 	 "技能重随书3"
	"DOTA_Tooltip_ability_item_remove_ability3_description" 	 "学完这本书，将第3个槽位的能力替换为另一种随机技能！"
			
	"DOTA_Tooltip_ability_item_remove_ability_ult" 	 "终极技能重随书"
	"DOTA_Tooltip_ability_item_remove_ability_ult_description" 	 "学完这本书，你将自己的终极能力替换为另一种随机技能！"
			
	"DOTA_Tooltip_ability_item_ability_bonus" 	 "额外技能书"
	"DOTA_Tooltip_ability_item_ability_bonus_description" 	 "学习这本书会给你一个额外的随机技能（只能使用一次）！"
			
	"DOTA_Tooltip_ability_item_remove_ability_bonus" 	 "额外技能重随书"
	"DOTA_Tooltip_ability_item_remove_ability_bonus_description" 	 "学习本书后，你的额外技能将随机替换为另一个技能！"
			
	"DOTA_Tooltip_ability_item_points_small" 	 "<font color='#e84900'>一小堆宝石</font>"
	"DOTA_Tooltip_ability_item_points_small_description" 	 "给你的团队 %wood% 宝石。"
			
	"DOTA_Tooltip_ability_item_points_medium" 	 "<font color='#e84900'>中型宝石堆</font>"
	"DOTA_Tooltip_ability_item_points_medium_description" 	 "给你的团队 %wood% 宝石。"
			
	"DOTA_Tooltip_ability_item_points_big" 	 "<font color='#e84900'>一大堆宝石</font>"
	"DOTA_Tooltip_ability_item_points_big_description" 	 "给你的团队 %wood% 宝石。"
			
	"DOTA_Tooltip_ability_item_points_boss" 	 "<font color='#e84900'>一大堆宝石</font>"
	"DOTA_Tooltip_ability_item_points_boss_description" 	 "给你的团队 %wood% 宝石。"
			
	"DOTA_Tooltip_ability_item_points_small_self" 	 "<font color='#e84900'>一小堆宝石</font>"
	"DOTA_Tooltip_ability_item_points_small_self_description" 	 "使用时给你 %wood% 宝石。"
			
	"DOTA_Tooltip_ability_item_points_medium_self" 	 "<font color='#e84900'>中型宝石堆</font>"
	"DOTA_Tooltip_ability_item_points_medium_self_description" 	 "使用时给你 %wood% 宝石。"
			
	"DOTA_Tooltip_ability_item_points_big_self" 	 "<font color='#e84900'>一大堆宝石</font>"
	"DOTA_Tooltip_ability_item_points_big_self_description" 	 "使用时给你 %wood% 宝石。"
			
	"WoodCost" 	 "石头"
	"GoldCost" 	 "金子"
			
	"DOTA_Tooltip_ability_item_cheese_lua" 	 "奶酪"
	"DOTA_Tooltip_ability_item_cheese_lua_Description" 	 "好吃又有营养，吃下去全属性+%all%。"
			
//==============================================================================================================ZONES========================================================================================================================			
		
	"zone1" 	 "邻里"
	"zone1_des" 	 "找到并杀死所有的巨魔！"
	"1_zone" 	 "这个定居点的居民抱怨附近有邪恶的巨魔。帮助村民，杀死所有巨魔！"
					
	"zone2" 	 "死亡森林"
	"zone2_des" 	 "杀死全部的僵尸！"
	"2_zone" 	 "曾几何时，那是一片美丽的森林，但现在这些地方到处都是各种恶心的恶灵。清除森林中的僵尸。"
					
	"zone3" 	 "雪地通行证"
	"zone3_des" 	 "拯救所有小羊！"
	"3_zone" 	 "一只贫穷农民的羊散落在雪域的山口。拯救所有的羊。只要一只羊死了，你就输了！"
					
	"zone4" 	 "冰湖"
	"zone4_des" 	 "找到大门的钥匙！"
	"4_zone" 	 "商人：<<在冰的某处，我已经包围了石巨人之门的钥匙。>>找到通过的钥匙。"
					
	"zone5" 	 "圣甲虫神庙"
	"zone5_des" 	 "杀死圣甲虫王！"
	"5_zone" 	 "圣甲虫神殿充满了逻辑谜团和危险陷阱，由两只远古圣甲虫守护！"
			
	"zone6" 	 "波涛汹涌的河流"
	"zone6_des" 	 "杀死特里顿！"
	"6_zone" 	 "特里顿和他的手下摧毁了我们河上的桥，我们无法渡河到对岸。杀了特里顿！"
			
	"zone6_5" 	 "丛林"
	"zone6_5_des" 	 "杀老大！"
	"6_5_zone" 	 "这片丛林里发生了一些奇怪的事情，去看看并杀死那里的一切！"
				
	"zone7" 	 "黑暗森林"
	"zone7_des" 	 "阻止教堂被炸弹袭击！"
	"7_zone" 	 "矿工们准备炸毁所有的教堂，你有15分钟的时间杀死他们，否则你就输了！"
							
	"zone8" 	 "地狱"
	"zone8_des" 	 "开启通往黑暗之主的通道！"
	"8_zone" 	 "小心点，这里住着邪恶的生物！要打开所有的大门，找到通向黑暗之主的通道，必须先获得相应的地狱碎片！"
							
	"zone9" 	 "沼泽"
	"zone9_des" 	 "摧毁所有方尖碑"
	"9_zone" 	 "美杜莎女王住在那片沼泽里！要小心，因为沼泽的烟雾会让你变得虚弱！要找到女王，必须先摧毁所有的方尖碑！"
			
	"zone10" 	 "奥林巴斯"
	"zone10_des" 	 "清空这片区域！"
	"10_zone" 	 "敌人最精锐的战士住在这里！消灭他们"
					
	"zone11" 	 "国王的豪宅"
	"zone11_des" 	 "点燃所有的火炬圣杯！"
	"11_zone" 	 "帝王府的危险程度不亚于圣甲虫神殿！小心点，路上的高脚杯一定要点亮！"
		
			
//===============================================================================================================INFO=======================================================================================================================	

	"infod" 	 "<font color='#FF9933'>Boss Survival Adventure</font> 是一张可以和朋友一起玩的地图！你将拥有 MANA 独特的地点，有你自己的任务、情节和谜语！每个地点、boss、 MANA 秘密地点和逻辑谜题！增强和自定义物品！重做英雄的技能！杀死所有BOSS并努力生存！！！"
	"infoda" 	 "<font color='#FF9933'>MANA 区域有隐藏的宝箱。</font>"
	"infods" 	 "箱子可以是可见的或不可见的，购买岗哨守卫或宝石来找到它们。"
	"infodd" 	 "<font color='#FF9933'>一些区域有迷你任务 NPC。</font>"
	"infodf" 	 "完成迷你任务以解锁新任务！"
	"infodq" 	 "<font color='#FF9933'>如果您是新手，理想的选择是坦克、远程 dps、近战 dps、法师 dps 和辅助治疗。</font>"
	"infodw" 	 "选择合适的英雄，物理伤害和魔法伤害的完美平衡，让你轻松通关。"
	"infode" 	 "<font color='#FF9933'>在某些区域，您会严重丧失视野。</font>"
	"infodr" 	 "别忘了在特殊的山丘上放置侦查守卫，它可以保住你的性命。"
	"infodt" 	 "<font color='#FF9933'>金币和 creep 经验。</font>"
	"infody" 	 "英雄从 1100 范围内杀死的小兵中获得经验和金币。范围内的英雄越少，其他人获得的金币和经验就越多。死去的英雄不会获得任何东西。金袋除外。"
	"infodz" 	 "<font color='#FF9933'>事情和改进。</font>"
	"infodx" 	 "请注意，MANA 物品有多个升级级别。"
	"inforange" 	 "远程组装的典范"
	"infotank" 	 "坦克的大致组装"
	"infomelee" 	 "近战人员的大致组装"
	"infosup" 	 "支持的典型构建"
			
	"Close" 	 "关闭"
			
			
//===============================================================================================================NOTICE=======================================================================================================================	

	"kill_undy" 	 "杀死不朽尸王"
			
	"d_gate" 	 "击杀BOSS后解锁——大石头！"
			
	"d_gate_need" 	 "给我一个金色的头骨和一个金色的蛋！"
			
	"usilenie" 	 "<font color='#FF0000'>怪物强化：</font>"
				
	"notepet" 	 "你只能养一只宠物，否则你的金币不够！"
			
			
	"check2" 	 "<font color='#008000'>哇！你在没有捐款的情况下完成了游戏！</font>"
			
	"min" 	 "<font color='#FF0000'>注意！矿工已经到达他的目标的一半！加速！</font>"
			
	"mini1" 	 "<font color='#FF0000'>迷你任务！</font>在杀死不朽尸王之前将<font color='#00ff5f'>梅肯斯姆</font>带给商人！"
	"mini2" 	 "<font color='#FF0000'>迷你任务！</font>在杀死不朽尸王之前将<font color='#00ff5f'>弗拉迪米尔的祭品</font>带给商人！"
	"mini3" 	 "<font color='#FF0000'>迷你任务！</font>在杀死不朽尸王之前将<font color='#00ff5f'>神石</font>带给商人！"
	"mini4" 	 "<font color='#FF0000'>迷你任务！</font>在你杀死不朽尸王之前给商人带来<font color='#00ff5f'>坚韧之球</font>！"
	"mini5" 	 "<font color='#FF0000'>迷你任务！</font>在杀死不朽尸王之前将<font color='#00ff5f'>恶魔刀锋</font>带给商人！"
	"mini6" 	 "<font color='#FF0000'>迷你任务！</font>在杀死不朽尸王之前将<font color='#00ff5f'>极限法球</font>带给商人！"
			
	"mini_snow" 	 "<font color='#FF0000'>迷你任务！</font> 商家：<font color='#00ff5f'>嗯... 我想吃奶酪...</font>"
			
	"mini_2" 	 "<font color='#FF0000'>迷你任务！</font>将<font color='#00ff5f'>圣甲虫之魂带给商人！</font>"
			
	"mine_quest" 	 "<font color='#FF0000'>藏宝坑已被堵住，需要用什么东西把路挖通...</font>"
	"mine_quest2" 	 "<font color='#FF0000'>矿山已经在崩溃的边缘了！</font>"
	"mine10" 	 "<font color='#FF0000'>还有 10 秒！</font>"
	"mine9" 	 "<font color='#FF0000'>还剩 9 秒！</font>"
	"mine8" 	 "<font color='#FF0000'>还剩 8 秒！</font>"
	"mine7" 	 "<font color='#FF0000'>还剩 7 秒！</font>"
	"mine6" 	 "<font color='#FF0000'>还剩 6 秒！</font>"
	"mine5" 	 "<font color='#FF0000'>还剩 5 秒！</font>"
	"mine4" 	 "<font color='#FF0000'>还剩 4 秒！</font>"
	"mine3" 	 "<font color='#FF0000'>还剩 3 秒！</font>"
	"mine2" 	 "<font color='#FF0000'>还剩 2 秒！</font>"
	"mine1" 	 "<font color='#FF0000'>还剩 1 秒！</font>"
			
	"minihidden" 	 "<font color='#FF0000'>隐藏商人：</font> <font color='#00ff5f'>你是怎么找到我的？好吧，既然来了，挑点特产带回去吧！</font>"
			
	"da" 	 "你已经达到最高等级了！加油！"
	"net" 	 "小家伙，你要去哪里？再去学点东西！"
			
	"ROSH" 	 "你可以通过了！"
	"ROSH_need" 	 "要去肉山吗？带上门票，庸才！"
			
	"nag" 	 "这是钥匙！"
	"nagneed" 	 "去给我 30 个鱼人的头颅，我会给你 特里顿 藏身处的钥匙！"
			
	"sandgo" 	 "<font color='#FF0000'>最终 BOSS 来了！！！！</font>"
			
	"invo1" 	 "<font color='#FF0000'>什么？？？？？？？</font>"
	"invo2" 	 "<font color='#FF0000'>你怎么敢杀我的主？？？！！！</font>"
	"invo3" 	 "<font color='#FF0000'>我会毁掉你们所有人！！！</font>"
			
	"golden_dragon1" 	 "<font color='#fcb900'>死亡森林中出现了一具金色骷髅！</font>"
	"GoldenMiner" 	 "黄金骷髅"
	"GoldenMiner1" 	 "黄金骷髅"
			
	"golden_dragon2" 	 "<font color='#fcb900'>金色女王已经出现在 雪原 中！</font>"
	"GoldenQueen" 	 "黄金女王"
	"GoldenQueen1" 	 "黄金女王"
			
	"golden_dragon3" 	 "<font color='#fcb900'>黄金冰龙已经降临了冰湖！</font>"
	"GoldenWyvern" 	 "黄金冰龙"
	"GoldenWyvern1" 	 "黄金冰龙"
			
	"golden_dragon4" 	 "<font color='#fcb900'>黄金海狮 现在在河流的某个地方！</font>"
	"GoldenSea" 	 "黄金海狮"
	"GoldenSea1" 	 "黄金海狮"
			
	"golden_dragon5" 	 "<font color='#fcb900'>一条大金龙出现在丛林中！</font>"
	"GoldenDragon" 	 "大金龙"
	"GoldenDragon1" 	 "大金龙"
			
	"golden_dragon6" 	 "<font color='#fcb900'>黄金猿猴已经出现在了黑暗森林！</font>"
	"GoldenForest" 	 "黄金猿猴"
	"GoldenForest1" 	 "黄金猿猴"
	"kamen" 	 "凑齐5块神石碎片，我就能炼成神石！"
			
	"egg" 	 "集齐5根骨头，送你一个金色的怪物蛋！"
			
//========================================================================================================PETS===================================================================================================================================

	"DOTA_Tooltip_ability_pet_dagon" 	 "宠物达贡"
	"DOTA_Tooltip_ability_pet_dagon_Description" 	 "每 35 秒对一个随机目标施放达贡！"
	"DOTA_Tooltip_ability_pet_dagon_damage" 	 "伤害："
	"DOTA_Tooltip_ability_pet_dagon_radius" 	 "寻找目标半径："
			
	"DOTA_Tooltip_ability_item_armor_pet" 	 "叨叨机器人"
	"DOTA_Tooltip_ability_item_armor_pet_Description" 	 "<h1>被动：</h1>每级增加穿戴者 1 点护甲值！\n\n在 30 级时，获得：30 点护甲值！"
	"DOTA_Tooltip_ability_item_armor_pet_Lore" 	 "叨叨机器人——与主人一起成长，提升等级，增加加成！"

	"DOTA_Tooltip_ability_item_armor_pet2" 	 "爬爬机器人"
	"DOTA_Tooltip_ability_item_armor_pet2_Description" 	 "<h1>被动：</h1>每级增加穿戴者 1 点护甲和 2 点移动速度！\n\n在 30 级时，获得 30 点护甲和 60 点移动速度！"
	"DOTA_Tooltip_ability_item_armor_pet2_Lore" 	 "爬爬机器人——与主人共同成长，等级提升，增加加成！"

	"DOTA_Tooltip_ability_item_armor_pet3" 	 "飞飞机器人"
	"DOTA_Tooltip_ability_item_armor_pet3_Description" 	 "<h1>被动：</h1>每级增加 1 点护甲，2 点移动速度和 10 点攻击力！\n\n在 30 级时，获得 30 点护甲，60 点移动速度和 300 点攻击力！"
	"DOTA_Tooltip_ability_item_armor_pet_Lore" 	 "飞飞机器人——随主人一起成长，等级提升，增加加成！"

	"DOTA_Tooltip_ability_item_armor_pet4" 	 "驴驴机器人"
	"DOTA_Tooltip_ability_item_armor_pet4_Description" 	 "<h1>被动：</h1> 每级增加 1 点护甲、2 点移动速度、10 点攻击力和 3.3 点生命恢复！\n\n在 30 级时，获得 30 点护甲、60 点移动速度、300 点攻击力和100 生命恢复！"
	"DOTA_Tooltip_ability_item_armor_pet4_Lore" 	 "驴驴机器人——和主人一起成长，等级提升，增加加成！"

	"DOTA_Tooltip_ability_item_armor_pet5" 	 "嗡嗡机器人"
	"DOTA_Tooltip_ability_item_armor_pet5_Description" 	 "<h1>主动：达贡</h1> 每 35 秒对一个随机目标施放达贡！\n\n <h1>被动：</h1> 每级增加 1 点护甲、2 点移动速度、10 点攻击力和3.3 生命恢复！\n\n在 30 级时，获得 30 护甲、60 移动速度、300 攻击力和 100 生命恢复！"
	"DOTA_Tooltip_ability_item_armor_pet5_Lore" 	 "嗡嗡机器人——与主人一起成长，等级提升，增加加成！"

	"DOTA_Tooltip_ability_item_armor_pet6" 	 "机械杀手"
	"DOTA_Tooltip_ability_item_armor_pet6_Description" 	 "<h1>主动：达贡</h1> 每 35 秒对一个随机目标施放达贡！\n\n <h1>被动：</h1> 每级增加 1 点护甲，2 点移动速度，10 点攻击力，生命恢复 3.3，并获得致命一击！\n\n在 30 级时，获得 30 点护甲，60 移动速度，300 点攻击力，100 点生命恢复，并有 20% 的几率造成 210% 的伤害！
	"DOTA_Tooltip_ability_item_armor_pet6_Lore" 	 "机械杀手——与主人一起成长，提升等级，增加加成！"

//==================================================

	"DOTA_Tooltip_ability_pet_block_aura" 	 "宠物方块光环"
	"DOTA_Tooltip_ability_pet_block_aura_Description" 	 "在 700 范围内每 60 秒触发一个 10 秒的增益，阻挡 25 点所有伤害！仅当范围内的盟友生命值低于 80% 时才会自动触发！"
	"DOTA_Tooltip_ability_pet_block_aura_duration" 	 "持续时间："
	"DOTA_Tooltip_ability_pet_block_aura_radius" 	 "半径："
	"DOTA_Tooltip_ability_pet_block_aura_block" 	 "伤害："

	"DOTA_Tooltip_ability_item_attackspeed_pet" 	 "多多鸟"
	"DOTA_Tooltip_ability_item_attackspeed_pet_Description" 	 "<h1>被动能力：</h1>每级增加主人3点攻击速度！\n\n在30级时，获得：90点攻击速度！"
	"DOTA_Tooltip_ability_item_attackspeed_pet_Lore" 	 "多多鸟——与主人一起成长，提升等级，增加加成！！"

	"DOTA_Tooltip_ability_item_attackspeed_pet2" 	 "小水獭"
	"DOTA_Tooltip_ability_item_attackspeed_pet2_Description" 	 "<h1>被动：</h1>每升一级，主人的攻击速度提高 3，技能增强 0.8%！\n\n在 30 级时，获得：90 攻击速度和 24% 技能增强！"
	"DOTA_Tooltip_ability_item_attackspeed_pet2_Lore" 	 "小水獭——与主人一起成长，提升等级，增加加成！"

	"DOTA_Tooltip_ability_item_attackspeed_pet3" 	 "小蝾螈"
	"DOTA_Tooltip_ability_item_attackspeed_pet3_Description" 	 "<h1>被动：</h1>每升一级，主人的攻击速度提高 3，技能增强 0.8%，所有属性提高 1！\n\n在 30 级时，获得：90 攻击速度，24% 技能增强以及全属性30！"
	"DOTA_Tooltip_ability_item_attackspeed_pet3_Lore" 	 "小蝾螈——与主人一起成长，提升等级，增加加成！"

	"DOTA_Tooltip_ability_item_attackspeed_pet4" 	 "小爬虫"
	"DOTA_Tooltip_ability_item_attackspeed_pet4_Description" 	 "<h1>被动：</h1>每级增加主人攻击速度3，技能增强0.8%，全属性1，魔法抗性1！\n\n30级时，获得：90攻击速度， 24% 技能增强，30 全属性和 30 额外魔法抗性！"
	"DOTA_Tooltip_ability_item_attackspeed_pet4_Lore" 	 "小爬虫——与主人一起成长，提升等级，增加加成！"

	"DOTA_Tooltip_ability_item_attackspeed_pet5" 	 "小亚龙"
	"DOTA_Tooltip_ability_item_attackspeed_pet5_Description" 	 "<h1>主动能力：格挡</h1>每 60 秒，在 700 半径内施加一个持续 10 秒的增益，格挡 25 的所有伤害！\n\n <h1>被动能力：</h1> 每级增加主人的攻击速度提高 3，技能增强 0.8%，全属性提高 1，魔法抗性提高 1！\n\n在 30 级时，获得：90 攻击速度，24% 技能增强，30 全属性和 30 魔法抗性！"
	"DOTA_Tooltip_ability_item_attackspeed_pet5_Lore" 	 "小亚龙——与主人一起成长，提升等级，增加加成！"

	"DOTA_Tooltip_ability_item_attackspeed_pet6" 	 "变色龙"
	"DOTA_Tooltip_ability_item_attackspeed_pet6_Description" 	 "<h1>主动能力：格挡</h1>每 60 秒，在 700 半径内施加一个持续 10 秒的增益，格挡 25 的所有伤害！\n\n <h1>被动能力：</h1> 每级增加主人的攻击速度提高 3，技能增强提高 0.8%，全属性提高 1，魔法抗性提高 1，并获得暴击能力！\n\n在 30 级时获得：90 攻击速度，24% 额外技能增强，30 全属性，30 额外魔法抗性和 20% 的几率造成 210% 的伤害！"
	"DOTA_Tooltip_ability_item_attackspeed_pet6_Lore" 	 "变色龙——与主人一起成长，提升等级，增加加成！"

//===================================================

	"DOTA_Tooltip_ability_pet_magic_block_aura" 	 "宠物魔法方块灵气"
	"DOTA_Tooltip_ability_pet_magic_block_aura_Description" 	 "在 700 范围内每 60 秒施加一个 10 秒的增益效果，可阻挡 50% 的魔法伤害！仅当搜索范围内的盟友生命值低于 80% 时才会自动触发！"
	"DOTA_Tooltip_ability_pet_magic_block_aura_duration" 	 "持续时间："
